contract_id,district_id,district_name,source_doc_id,bucket,detail,source_url
532,10413,Harlem UD 122,776,scanned_no_text,words=0 pages=1,https://drive.google.com/uc?export=download&id=1Xe3ZW3TxI-RBYUaK1jV3nNUqdcs4EFZN
536,10987,Highland CUSD 5,779,no_candidate_table,"{'lines_with_edu_lane': 5, 'lines_with_money': 8}",https://drive.google.com/uc?export=download&id=1vQNhnG6AjP6covM2Jy_yMdv_B7SE3jbN
538,11014,Huntley Comm Sch Dist 158,781,no_candidate_table,"{'lines_with_money': 23, 'punct_step_rows': 5, 'lines_with_edu_lane': 23, 'text_step_rows': 3, 'bare_step_rows': 1} | sample: 1) The Board of Education of Huntley Community School District 158, McHenry and  || Year 1 $2,000.00 || Year 2 $3,000.00 || Year 3 continuing while valid $4,000.00",https://www.huntley158.org/fs/resource-manager/view/d8fda7dd-e7dd-44fa-865c-2db90155b594
541,11951,Ball Chatham CUSD 5,785,scanned_no_text,words=0 pages=2,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5701/BCCUSD/5865765/BCEA_MOU_2020.11.20_Working_Conditions__Time_Off__and_Administrative_Leave.pdf
542,11951,Ball Chatham CUSD 5,786,scanned_no_text,words=0 pages=1,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/5701/Bccusd/2c9cc38a-18e1-415f-9df0-9dc49d5d4d60/BCESPA_MOU_Change_of_Holiday_Observance.pdf?disposition=inline
546,10428,Northbrook SD 28,791,no_pdf,stats_error (No /Root object! - Is this really a PDF?),https://www.northbrook28.net/about-us/public-information/collective-bargaining-agreement
548,10396,Pana CUSD 8,793,no_candidate_table,"{'lines_with_edu_lane': 11, 'lines_with_money': 1}",https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/845/Pana_Cusd_8/07c65080-3478-4054-8c2d-320c79affafc/PEA_Contract_24-27_and_Salary_Schedule-combine.pdf?disposition=inline
554,11347,Thornton SD 154,798,scanned_no_text,words=0 pages=44,https://drive.google.com/uc?export=download&id=1X90P95OT8pw3BsuqW11n1g2hfqf4f5en
560,10938,Allen-Otter Creek CCSD 65,806,no_candidate_table,"{'lines_with_money': 19, 'lines_with_edu_lane': 10}",https://resources.finalsite.net/images/v1759428264/ransomgradeschoolnet/ziiys9gixqruxu3u4rff/COLLECTIVEBARGAININGAGREEMENT2025-2028docx.pdf
566,11065,Elmwood CUSD 322,830,scanned_no_text,words=0 pages=34,upload://district-11065/teachers/Elmwood_CBA_2023-26__4.26.23_.pdf
