doc_id,district_id,district_name,state,school_year,bargaining_unit,classification,detail,source_url
561,11593,Zeigler-Royalton CUSD 188,IL,,teachers,not-CBA,title=0 body=2 agenda=1 policy=1/13 kw=6 -> not-CBA policy_manual,https://static.secure.website/wscfus/9867453/3705221/2016-2017-handbook.pdf
562,10924,Zion-Benton Twp HSD 126,IL,,support_staff,not-CBA,title=0 body=1 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.zb126.org/fs/resource-manager/view/ef5495ee-a91d-45e9-b749-3f6fd6c34a4e
566,12134,Berkeley SD 87,IL,,teachers,not-CBA,title=1 body=2 agenda=0 policy=0/22 kw=3 -> not-CBA,https://www.berkeley87.org/UserFiles/Servers/Server_389410/File/Parents/Title%20IX/2_260%20Uniform%20Grievance%20Procedure.pdf
567,10828,Bradford CUSD 1,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://hscsed.schoolboard.net/sites/henrystark.schoolboard.net/files/6D_Scholarship%20%26%20Employment%20Agreement%20%28LBS1%29%20Alexandria%20Simpson.pdf
575,11050,East Coloma - Nelson CESD 20,IL,,teachers,not-CBA,title=1 body=1 agenda=0 policy=0/0 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3442/ECNCESD/4938420/ECN_Middle_School_Science__Grades_6-8_.pdf
583,10485,Lyons SD 103,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.willowspringsschool.org/wp-content/uploads/2024/11/August-21-2024-Regular-Board-Minutes-signed.pdf
584,10471,Maywood-Melrose Park-Broadview 89,IL,,custodial_maintenance,needs-OCR,insufficient_text (0 chars),https://www.maywood89.org/wp-content/uploads/2020/07/Custodial-Maintenance-Contract-2024.pdf
592,10976,Northwestern CUSD 2,IL,,transportation,not-CBA,title=0 body=0 agenda=0 policy=0/8 kw=4 -> not-CBA policy_manual,https://www.northwestern.k12.il.us/vimages/shared/vnews/stories/5c5c93ce64ae1/4_110%20Transportation.pdf
593,10976,Northwestern CUSD 2,IL,,food_service,not-CBA,title=0 body=0 agenda=0 policy=1/3 kw=2 -> not-CBA policy_manual,https://www.northwestern.k12.il.us/vimages/shared/vnews/stories/5c5c93ce64ae1/4_120%20Food%20Services.pdf
594,10976,Northwestern CUSD 2,IL,,support_staff,not-CBA,title=0 body=0 agenda=0 policy=1/5 kw=3 -> not-CBA policy_manual,https://www.northwestern.k12.il.us/vimages/shared/vnews/stories/5c5c93ce64ae1/5-270.pdf
