RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
480723220,1714050,Elmwood CUSD 322,Peoria,http://www.elmwood322.com,CBA (Unit Unspecified),Elmwood_CBA_2023-26.pdf,1961.7,Elmwood_CUSD_322
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,CBA (Unit Unspecified),EPCMA_CBA_2022-26.pdf,372.8,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,CBA (Unit Unspecified),EPCMA_CBA_2026-30.pdf,502.7,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,Unknown,EPCMA_MOA_HVAC_Maintenance.pdf,77.7,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,Unknown,EPCMA_MOA_Transition_Role.pdf,161.3,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,CBA (Unit Unspecified),EPET_CBA_2024-28.pdf,506.6,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,Unknown,EPET_MOU_Extra_Duty_Pay.pdf,593.6,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,Unknown,EPET_MOU_Flag_Football.pdf,71.4,Elmwood_Park_CUSD_401
060164010,1714100,Elmwood Park CUSD 401,Cook,http://www.epcusd401.org,CBA (Unit Unspecified),EP_PSRPC_CBA_2025-29.pdf,833.9,Elmwood_Park_CUSD_401
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,Unknown,EEA_Contract_2024-2027.pdf,0.2,Elverado_CUSD_196
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,Unknown,Local773_12mo_2024-2027.pdf,0.2,Elverado_CUSD_196
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,CBA (Unit Unspecified),Local773_12mo_CBA_2024-2027.pdf,0.2,Elverado_CUSD_196
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,Unknown,Local773_12mo_Contract_2024-2027.pdf,0.2,Elverado_CUSD_196
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,Unknown,Local773_9mo_2024-2027.pdf,0.3,Elverado_CUSD_196
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,CBA (Unit Unspecified),Local773_9mo_CBA_2024-2027.pdf,0.3,Elverado_CUSD_196
